id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
31;1871 г.;1871;25 Недоимки к;#event_1871_31
32;1863 г.;1863;26;#event_1871_32
33;1871 г.;1871;26;#event_1871_33
34;1870 г.;1870;26;#event_1871_34
35;1871 г.;1871;27 Со стороны земских властей слышатся постоянные жалобы на увеличивающееся пьянство в народе. Распр;#event_1871_35
36;1871 г.;1871;27 Со стороны земских властей слышатся постоянные жалобы на увеличивающееся пьянство в народе. Распр;#event_1871_36
37;1870 г.;1870;31 Бывший в;#event_1871_37
38;1871 г.;1871;31 Бывший в;#event_1871_38
39;1872 г.;1872;32 Устройство полок в кладовой при;#event_1871_39
40;1864 г.;1864;33 Еще с;#event_1871_40
41;1871 г.;1871;33 Еще с;#event_1871_41
42;1869 г.;1869;33 Еще с;#event_1871_42
43;1872 г.;1872;33 Еще с;#event_1871_43
44;1871 г.;1871;35 может после 1 сентября выставить легко более 5 000 челов. при плате 30—40 к., и дешевизна продово;#event_1871_44
45;1870 г.;1870;35 может после 1 сентября выставить легко более 5 000 челов. при плате 30—40 к., и дешевизна продово;#event_1871_45
46;1870 г.;1870;36 Перечисленные преступления составляют почти две трети всех других, поименованных в ведомости № 5,;#event_1871_46
47;1870 г.;1870;37 Подследственные и срочные заключались в 5 тюремных замках и при полициях в 5 городах, пересыльные;#event_1871_47
48;1870 г.;1870;38 Наибольшее количество пожаров и наибольшая сумма убытков, происшедших от пожаров, выпадает на лет;#event_1871_48
49;1871 г.;1871;38 Наибольшее количество пожаров и наибольшая сумма убытков, происшедших от пожаров, выпадает на лет;#event_1871_49
50;1865 г.;1865;39 губернии обусловливается отчасти скудностью содержания, назначенного им штатами, при дороговизне ;#event_1871_50
51;1871 г.;1871;39 губернии обусловливается отчасти скудностью содержания, назначенного им штатами, при дороговизне ;#event_1871_51
52;1871 г.;1871;40 лимфою н оспопрививательными иглами, и наконец в ходатайстве об избрании для;#event_1871_52
53;1871 г.;1871;40 лимфою н оспопрививательными иглами, и наконец в ходатайстве об избрании для;#event_1871_53
54;1872 г.;1872;40 лимфою н оспопрививательными иглами, и наконец в ходатайстве об избрании для;#event_1871_54
55;1870 г.;1870;42 в этих местностях почти ежегодно. Она обусловливается наводнениями и низкими болотистыми местами ;#event_1871_55
56;1871 г.;1871;42 в этих местностях почти ежегодно. Она обусловливается наводнениями и низкими болотистыми местами ;#event_1871_56
57;1870 г.;1870;42 в этих местностях почти ежегодно. Она обусловливается наводнениями и низкими болотистыми местами ;#event_1871_57
58;1 июня 1871 г.;1871-06-01;42 в этих местностях почти ежегодно. Она обусловливается наводнениями и низкими болотистыми местами ;#event_1871_58
59;1869 г.;1869;42 в этих местностях почти ежегодно. Она обусловливается наводнениями и низкими болотистыми местами ;#event_1871_59
60;1870 г.;1870;42 в этих местностях почти ежегодно. Она обусловливается наводнениями и низкими болотистыми местами ;#event_1871_60
61;1869 г.;1869;43 В;#event_1871_61
62;1871 г.;1871;43 В;#event_1871_62
63;1871 г.;1871;44 отдаленных одно от другого местах, то командирование его с целью прекращения эпизоотии при всем е;#event_1871_63
64;1871 г.;1871;44 отдаленных одно от другого местах, то командирование его с целью прекращения эпизоотии при всем е;#event_1871_64
65;1870 г.;1870;44 отдаленных одно от другого местах, то командирование его с целью прекращения эпизоотии при всем е;#event_1871_65
66;1870 г.;1870;45 на 13. Самоубийц было меньше на 10, умерших от случайностей — на 172. К этой статье следует ведом;#event_1871_66
67;1869 г.;1869;"46 впрочем очень незначительное; оно объясняется открытием приготовительного класса в гимназии, но г";#event_1871_67
68;1838 г.;1838;"46 впрочем очень незначительное; оно объясняется открытием приготовительного класса в гимназии, но г";#event_1871_68
69;1845 г.;1845;"46 впрочем очень незначительное; оно объясняется открытием приготовительного класса в гимназии, но г";#event_1871_69
70;1845 г.;1845;"46 впрочем очень незначительное; оно объясняется открытием приготовительного класса в гимназии, но г";#event_1871_70
71;1848 г.;1848;47 это объяснялось недостатком интересных книг и конкуренцией частной библиотеки золотопромышленнико;#event_1871_71
72;1868 г.;1868;47 это объяснялось недостатком интересных книг и конкуренцией частной библиотеки золотопромышленнико;#event_1871_72
73;1838 г.;1838;47 это объяснялось недостатком интересных книг и конкуренцией частной библиотеки золотопромышленнико;#event_1871_73
74;1868 год;1868;47 это объяснялось недостатком интересных книг и конкуренцией частной библиотеки золотопромышленнико;#event_1871_74
75;1868 г.;1868;47 это объяснялось недостатком интересных книг и конкуренцией частной библиотеки золотопромышленнико;#event_1871_75
76;1872 г.;1872;47 это объяснялось недостатком интересных книг и конкуренцией частной библиотеки золотопромышленнико;#event_1871_76
77;1 января 1872 года;1872-01-01;60 О податях и недоимках по;#event_1871_77
78;1 января 1872 года;1872-01-01;61 О податях и недоимках по;#event_1871_78
79;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_79
80;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_80
81;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_81
82;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_82
83;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_83
84;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_84
85;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_85
86;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_86
87;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_87
88;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_88
89;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_89
90;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_90
91;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_91
92;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_92
93;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_93
94;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_94
95;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_95
96;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_96
97;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_97
98;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_98
99;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_99
100;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_100
101;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_101
102;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_102
103;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_103
104;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_104
105;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_105
106;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_106
107;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_107
108;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_108
109;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_109
110;1871 г.;1871;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_110
111;1871 г.;1871;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_111
112;1871 г.;1871;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_112
113;1872 г.;1872;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_113
114;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_114
115;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_115
116;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_116
117;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_117
118;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_118
119;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_119
120;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_120
121;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_121
122;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_122
123;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_123
124;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_124
125;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_125
126;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_126
127;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_127
128;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_128
129;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_129
130;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_130
131;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_131
132;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_132
133;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_133
134;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_134
135;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_135
136;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_136
137;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_137
138;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_138
139;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_139
140;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_140
141;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_141
142;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_142
143;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_143
144;1866 г.;1866;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_144
145;1871 г.;1871;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_145
146;1871 г.;1871;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_146
147;1871 г.;1871;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_147
148;1872 г.;1872;РОД ПРЕСТУПЛЕНИЙ В том числе Возраст преступнников *** Дворян потомственных Дворян личных Почетных г;#event_1871_148
149;1871 год;1871;82 Название городов Приход за;#event_1871_149
150;1871 год;1871;82 Название городов Приход за;#event_1871_150
