ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
99;1864 г.;1864;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
100;1863 г.;1863;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
101;1864 г.;1864;33 и;
102;1864 г.;1864;33 и;
103;1863 г.;1863;33 и;
104;1864 г.;1864;33 и;
105;1864 г.;1864;33 и;
106;1863 г.;1863;33 и;
107;7 января 1865 г.;1865-01-07;33 и;
108;1864 г.;1864;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;
109;1862 г.;1862;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;
110;1864 г.;1864;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;
111;1864 г.;1864;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;
112;1864 г.;1864;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;
113;1864 г.;1864;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;
114;1865 г.;1865;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;
115;1864 г.;1864;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;
116;1863 г.;1863;35 того, священно- и церковнослужителям, за исключением весьма немногих, отведена сенокосная и огоро;
117;1864 г.;1864;35 того, священно- и церковнослужителям, за исключением весьма немногих, отведена сенокосная и огоро;
118;1864 г.;1864;41 Примечания 1. Сверх того, на частных золотых промыслах:;
119;1864 г.;1864;41 Примечания 1. Сверх того, на частных золотых промыслах:;
