id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
57;1 января 1882 г.;1882-01-01;53 б) благотворительных и экономических — 33 568 руб. 30 коп. Осталось к 1 января 1983 г. — 584 руб.;#event_1882_57
58;1882 г.;1882;53 б) благотворительных и экономических — 33 568 руб. 30 коп. Осталось к 1 января 1983 г. — 584 руб.;#event_1882_58
59;1882 г.;1882;53 б) благотворительных и экономических — 33 568 руб. 30 коп. Осталось к 1 января 1983 г. — 584 руб.;#event_1882_59
60;1 января 1882 г.;1882-01-01;53 б) благотворительных и экономических — 33 568 руб. 30 коп. Осталось к 1 января 1983 г. — 584 руб.;#event_1882_60
61;1 января 1883 г.;1883-01-01;"54 оседлости по 1 руб. с каждого — 14 171 руб. 14 коп.; 3) за билеты и виды, выдаваемые ссыльным, 23";#event_1882_61
62;1876 г.;1876;"54 оседлости по 1 руб. с каждого — 14 171 руб. 14 коп.; 3) за билеты и виды, выдаваемые ссыльным, 23";#event_1882_62
63;1 января 1883 г.;1883-01-01;"58 79 коп.; в богадельне инвалидов призреваемых не было. В городской красноярской Щеголевской богаде";#event_1882_63
64;4 апреля 1866 г.;1866-04-04;59 городских больницах, заимообразно отпущенной на содержание их из капитала 1-го разряда. К числу б;#event_1882_64
65;9 ноября 1877 г.;1877-11-09;59 городских больницах, заимообразно отпущенной на содержание их из капитала 1-го разряда. К числу б;#event_1882_65
66;1 января 1883 г.;1883-01-01;59 городских больницах, заимообразно отпущенной на содержание их из капитала 1-го разряда. К числу б;#event_1882_66
67;1883 г.;1883;С государственных крестьян 134135 61 257447 66 1113 72½ 1199 42½ Поступило на;#event_1882_67
68;1883 г.;1883;С государственных крестьян 134135 61 257447 66 1113 72½ 1199 42½ Поступило на;#event_1882_68
69;1883 г.;1883;С государственных крестьян 134135 61 257447 66 1113 72½ 1199 42½ Поступило на;#event_1882_69
70;1883 г.;1883;С государственных крестьян 134135 61 257447 66 1113 72½ 1199 42½ Поступило на;#event_1882_70
71;1883 г.;1883;С государственных крестьян 46160 84 129038 69 174 90 593 71½ Поступило на;#event_1882_71
72;1883 г.;1883;С государственных крестьян 46160 84 129038 69 174 90 593 71½ Поступило на;#event_1882_72
73;1883 г.;1883;С государственных крестьян 46160 84 129038 69 174 90 593 71½ Поступило на;#event_1882_73
74;1883 г.;1883;С государственных крестьян 46160 84 129038 69 174 90 593 71½ Поступило на;#event_1882_74
75;1883 г.;1883;С государственных крестьян 46160 84 129038 69 174 90 593 71½ Поступило на;#event_1882_75
76;1883 г.;1883;70 Наименование сборов Следовало поступитьВновь причислено НедоимокОкладаНедоимокОклада руб. коп. ру;#event_1882_76
77;1883 г.;1883;С государственных крестьян 2672 83 2803 8 65 72¼ 13 87 — купцов и мещан 2 81 — 48 — — — — — оседлых ;#event_1882_77
78;1883 г.;1883;С государственных крестьян 2672 83 2803 8 65 72¼ 13 87 — купцов и мещан 2 81 — 48 — — — — — оседлых ;#event_1882_78
79;1883 г.;1883;С государственных крестьян 2672 83 2803 8 65 72¼ 13 87 — купцов и мещан 2 81 — 48 — — — — — оседлых ;#event_1882_79
80;1883 г.;1883;72 Наименование сборов Следовало поступитьВновь причислено НедоимокОкладаНедоимокОклада руб. коп. ру;#event_1882_80
81;1883 г.;1883;72 Наименование сборов Следовало поступитьВновь причислено НедоимокОкладаНедоимокОклада руб. коп. ру;#event_1882_81
82;1883 г.;1883;72 Наименование сборов Следовало поступитьВновь причислено НедоимокОкладаНедоимокОклада руб. коп. ру;#event_1882_82
83;1 Января 1882 г.;1882-01-01;78 род ы П р е с т уП л еН и й Число преступлений Число осужденных В Т О М Дворян потомственных Двор;#event_1882_83
84;1882 г.;1882;78 род ы П р е с т уП л еН и й Число преступлений Число осужденных В Т О М Дворян потомственных Двор;#event_1882_84
85;1 Января 1883 г.;1883-01-01;78 род ы П р е с т уП л еН и й Число преступлений Число осужденных В Т О М Дворян потомственных Двор;#event_1882_85
