ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
36;1 января 1883 г.;1883-01-01;"37 1 988 руб. 10 коп.; взыскано недоимок 15 159 руб. 6 коп. и оклада 109 914 руб. 22 коп.; осталось ";
37;1876 г.;1876;"37 1 988 руб. 10 коп.; взыскано недоимок 15 159 руб. 6 коп. и оклада 109 914 руб. 22 коп.; осталось ";
38;1882 г.;1882;38 Г. Отправление денежных повинностей Обывателями губернии отнесено денежных повинностей: 1) губерн;
39;1882 г.;1882;38 Г. Отправление денежных повинностей Обывателями губернии отнесено денежных повинностей: 1) губерн;
40;1 января 1883 г.;1883-01-01;39 В сравнении с минувшим годом, городские доходы уменьшились на 23 434 руб. 52 коп. и расходы на 29;
41;16 июня 1870 г.;1870-06-16;39 В сравнении с минувшим годом, городские доходы уменьшились на 23 434 руб. 52 коп. и расходы на 29;
42;1881 г.;1881;40 акциз 20 858 руб. 75 коп., в) с портера , пива и всех сортов меда 2 817 руб. 36 коп., г) за прода;
43;1 января 1874 г.;1874-01-01;41 Все повинности, перечисленные в 186 ст. IV т. Устава о земск . повин ., отправляются по возможнос;
44;1882 г.;1882;45 III. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВО И БЛАГОЧИНИЕ А. Казенные и общественные здания Ремонтные работы;
45;27 июля 1882 г.;1882-07-27;47 В. Водные сообщения Высочайше утвержденным;
46;1883 г.;1883;47 В. Водные сообщения Высочайше утвержденным;
47;1882 г.;1882;48 и 34 рабоч ., 3) „Николай“ — купца Сотникова в 50 сил, с 3 барками и 35 рабоч ., и 4) „Опыт“ — ку;
48;1881 г.;1881;48 и 34 рабоч ., 3) „Николай“ — купца Сотникова в 50 сил, с 3 барками и 35 рабоч ., и 4) „Опыт“ — ку;
49;1882 г.;1882;50 присвоении и растрате вверенного чужого движимого имущества — 0,7 %, святотатстве — 0,6 %, самово;
50;1 января 1883 г.;1883-01-01;50 присвоении и растрате вверенного чужого движимого имущества — 0,7 %, святотатстве — 0,6 %, самово;
51;1882 г.;1882;51 тюремного замка в отношении прочности удовлетворительно, но не соответствует числу содержащихся в;
52;25 марта 1882 г.;1882-03-25;51 тюремного замка в отношении прочности удовлетворительно, но не соответствует числу содержащихся в;
53;1883 г.;1883;51 тюремного замка в отношении прочности удовлетворительно, но не соответствует числу содержащихся в;
54;1 января 1882 г.;1882-01-01;"52 удовлетворительны; в";
55;1882 г.;1882;"52 удовлетворительны; в";
56;1882 г.;1882;"52 удовлетворительны; в";
57;1 января 1882 г.;1882-01-01;53 б) благотворительных и экономических — 33 568 руб. 30 коп. Осталось к 1 января 1983 г. — 584 руб.;
58;1882 г.;1882;53 б) благотворительных и экономических — 33 568 руб. 30 коп. Осталось к 1 января 1983 г. — 584 руб.;
59;1882 г.;1882;53 б) благотворительных и экономических — 33 568 руб. 30 коп. Осталось к 1 января 1983 г. — 584 руб.;
60;1 января 1882 г.;1882-01-01;53 б) благотворительных и экономических — 33 568 руб. 30 коп. Осталось к 1 января 1983 г. — 584 руб.;
61;1 января 1883 г.;1883-01-01;"54 оседлости по 1 руб. с каждого — 14 171 руб. 14 коп.; 3) за билеты и виды, выдаваемые ссыльным, 23";
62;1876 г.;1876;"54 оседлости по 1 руб. с каждого — 14 171 руб. 14 коп.; 3) за билеты и виды, выдаваемые ссыльным, 23";
63;1 января 1883 г.;1883-01-01;"58 79 коп.; в богадельне инвалидов призреваемых не было. В городской красноярской Щеголевской богаде";
64;4 апреля 1866 г.;1866-04-04;59 городских больницах, заимообразно отпущенной на содержание их из капитала 1-го разряда. К числу б;
65;9 ноября 1877 г.;1877-11-09;59 городских больницах, заимообразно отпущенной на содержание их из капитала 1-го разряда. К числу б;
66;1 января 1883 г.;1883-01-01;59 городских больницах, заимообразно отпущенной на содержание их из капитала 1-го разряда. К числу б;
67;1883 г.;1883;С государственных крестьян 134135 61 257447 66 1113 72½ 1199 42½ Поступило на;
68;1883 г.;1883;С государственных крестьян 134135 61 257447 66 1113 72½ 1199 42½ Поступило на;
69;1883 г.;1883;С государственных крестьян 134135 61 257447 66 1113 72½ 1199 42½ Поступило на;
70;1883 г.;1883;С государственных крестьян 134135 61 257447 66 1113 72½ 1199 42½ Поступило на;
71;1883 г.;1883;С государственных крестьян 46160 84 129038 69 174 90 593 71½ Поступило на;
72;1883 г.;1883;С государственных крестьян 46160 84 129038 69 174 90 593 71½ Поступило на;
73;1883 г.;1883;С государственных крестьян 46160 84 129038 69 174 90 593 71½ Поступило на;
74;1883 г.;1883;С государственных крестьян 46160 84 129038 69 174 90 593 71½ Поступило на;
75;1883 г.;1883;С государственных крестьян 46160 84 129038 69 174 90 593 71½ Поступило на;
76;1883 г.;1883;70 Наименование сборов Следовало поступитьВновь причислено НедоимокОкладаНедоимокОклада руб. коп. ру;
77;1883 г.;1883;С государственных крестьян 2672 83 2803 8 65 72¼ 13 87 — купцов и мещан 2 81 — 48 — — — — — оседлых ;
78;1883 г.;1883;С государственных крестьян 2672 83 2803 8 65 72¼ 13 87 — купцов и мещан 2 81 — 48 — — — — — оседлых ;
79;1883 г.;1883;С государственных крестьян 2672 83 2803 8 65 72¼ 13 87 — купцов и мещан 2 81 — 48 — — — — — оседлых ;
80;1883 г.;1883;72 Наименование сборов Следовало поступитьВновь причислено НедоимокОкладаНедоимокОклада руб. коп. ру;
81;1883 г.;1883;72 Наименование сборов Следовало поступитьВновь причислено НедоимокОкладаНедоимокОклада руб. коп. ру;
82;1883 г.;1883;72 Наименование сборов Следовало поступитьВновь причислено НедоимокОкладаНедоимокОклада руб. коп. ру;
83;1 Января 1882 г.;1882-01-01;78 род ы П р е с т уП л еН и й Число преступлений Число осужденных В Т О М Дворян потомственных Двор;
84;1882 г.;1882;78 род ы П р е с т уП л еН и й Число преступлений Число осужденных В Т О М Дворян потомственных Двор;
85;1 Января 1883 г.;1883-01-01;78 род ы П р е с т уП л еН и й Число преступлений Число осужденных В Т О М Дворян потомственных Двор;
