id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
11;1894 г.;1894;14 Б) ОБЕСПЕЧЕНИЕ НАРОДНОГО ПРОДОВОЛЬСТВИЯ. К 1-му января;#event_1895_11
12;1894 г.;1894;14 Б) ОБЕСПЕЧЕНИЕ НАРОДНОГО ПРОДОВОЛЬСТВИЯ. К 1-му января;#event_1895_12
13;1895 год;1895;15 Цены в;#event_1895_13
14;1895 года;1895;15 Цены в;#event_1895_14
15;1895 г.;1895;15 Цены в;#event_1895_15
16;1895 г.;1895;15 Цены в;#event_1895_16
17;1894 г.;1894;16 не хватит 14 654 чт. В;#event_1895_17
18;1895 г.;1895;16 не хватит 14 654 чт. В;#event_1895_18
19;1894 г.;1894;16 не хватит 14 654 чт. В;#event_1895_19
20;1895 г.;1895;16 не хватит 14 654 чт. В;#event_1895_20
21;1895 г.;1895;16 не хватит 14 654 чт. В;#event_1895_21
22;1 января 1886 г.;1886-01-01;16 не хватит 14 654 чт. В;#event_1895_22
23;1895 г.;1895;17 Государственного Банка за № 17 863 в сумме 75 053 руб. 29 коп. и процентными бумагами на 20 000 р;#event_1895_23
24;1894 г.;1894;18 В) ПРОМЫСЛЫ ГОРОДСКОГО И СЕЛЬСКОГО НАСЕЛЕНИЯ И Г) ПРОМЫШЛЕННОСТЬ ЗАВОДСКАЯ И ФАБРИЧНАЯ (Приложени;#event_1895_24
25;1895 года;1895;21 Промыслы — рыболовство и звероловство преобладают почти исключительно в северной части губернии, ;#event_1895_25
26;1895 г.;1895;21 Промыслы — рыболовство и звероловство преобладают почти исключительно в северной части губернии, ;#event_1895_26
27;1882 года;1882;24 с приисков на железнодорожные в;#event_1895_27
28;15 февраля 1894 года;1894-02-15;27 В ЗАВОДАХ ПО ОКРУГАМ Перекурено в вино пудов муки. ПОЛУЧЕНО.ПОЛУЧЕНО. Среднее число пудов употреб;#event_1895_28
29;15 июля 1895 г.;1895-07-15;27 В ЗАВОДАХ ПО ОКРУГАМ Перекурено в вино пудов муки. ПОЛУЧЕНО.ПОЛУЧЕНО. Среднее число пудов употреб;#event_1895_29
30;30 ноября 1840 года;1840-11-30;27 В ЗАВОДАХ ПО ОКРУГАМ Перекурено в вино пудов муки. ПОЛУЧЕНО.ПОЛУЧЕНО. Среднее число пудов употреб;#event_1895_30
31;15 февраля 1894 года;1894-02-15;28 не проведенною в жизнь и не внесла улучшения в положение сибирских лесов. Когда же началась постр;#event_1895_31
32;1895 г.;1895;29 вошел в состав первого в;#event_1895_32
33;1 января 1896 г.;1896-01-01;34 II. ПОДАТИ И ПОВИННОСТИ. (Приложением к этой статье служит ведомость № 4). А) ОКЛАДНЫЕ ВЗЫСКАНИЯ.;#event_1895_33
34;1895 г.;1895;34 II. ПОДАТИ И ПОВИННОСТИ. (Приложением к этой статье служит ведомость № 4). А) ОКЛАДНЫЕ ВЗЫСКАНИЯ.;#event_1895_34
35;1 января 1896 г.;1896-01-01;34 II. ПОДАТИ И ПОВИННОСТИ. (Приложением к этой статье служит ведомость № 4). А) ОКЛАДНЫЕ ВЗЫСКАНИЯ.;#event_1895_35
36;1895 г.;1895;34 II. ПОДАТИ И ПОВИННОСТИ. (Приложением к этой статье служит ведомость № 4). А) ОКЛАДНЫЕ ВЗЫСКАНИЯ.;#event_1895_36
37;1895 г.;1895;34 II. ПОДАТИ И ПОВИННОСТИ. (Приложением к этой статье служит ведомость № 4). А) ОКЛАДНЫЕ ВЗЫСКАНИЯ.;#event_1895_37
38;1 января 1896 г.;1896-01-01;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;#event_1895_38
39;1 января 1895 г.;1895-01-01;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;#event_1895_39
40;1895 г.;1895;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;#event_1895_40
41;1 января 1896 г.;1896-01-01;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;#event_1895_41
42;1895 г.;1895;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;#event_1895_42
43;1896 г.;1896;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;#event_1895_43
44;1894 г.;1894;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;#event_1895_44
45;1895 год;1895;36 1 508 руб. 75 коп., с пива и меда 15 890 руб. 52 коп., за патенты 145 281 руб. 46 коп., штрафов 2;#event_1895_45
46;1892 года;1892;40 55½½ коп. Чистой прибыли получено в 1-м банке — 12 514 руб. 80 коп., во 2-м— 8 109 руб. 72 коп. и;#event_1895_46
47;1895 год;1895;40 55½½ коп. Чистой прибыли получено в 1-м банке — 12 514 руб. 80 коп., во 2-м— 8 109 руб. 72 коп. и;#event_1895_47
48;1 января 1874 года;1874-01-01;41 6) Поимка беглых, препровождение их 4 733 808 1-го м. 7) Прекращение лесных пожаров 48 35 временн;#event_1895_48
49;1882 г.;1882;51 В устраиваемом по ВЫСОЧАЙШЕМУ повелению, последовавшему в 27 день июля;#event_1895_49
50;1 января 1895 г.;1895-01-01;51 В устраиваемом по ВЫСОЧАЙШЕМУ повелению, последовавшему в 27 день июля;#event_1895_50
51;1895 года;1895;51 В устраиваемом по ВЫСОЧАЙШЕМУ повелению, последовавшему в 27 день июля;#event_1895_51
